sha,author,date,message
07d6f800f9bf0812f519511d23b226dbe6fd8d9f,wuhaixu2016,2024-09-11 13:19:58+00:00,"Merge pull request #533 from Musongwhk/main

fix bugs according to issues #529 #516"
b712c8ceb40ab7d110d381f368a09501fb08b1e2,Musongwhk,2024-09-11 13:19:07+00:00,fix bugs according to issues #529 #516
e1e59c53273f8d9ea3801ef8c185e3d6db18cfc5,Musongwhk,2024-09-11 13:10:01+00:00,fix bugs according to issues #529 #516
c29eeb58d1bd209122b0fa4ebd7475a728bf1db9,wuhaixu2016,2024-09-11 09:48:25+00:00,Update README.md
8bd4b18f05ed7d9fcf88d4292c44db5a2ec47811,wuhaixu2016,2024-09-11 09:42:35+00:00,"Merge pull request #531 from Musongwhk/main

Add SCINet"
12f05cc77a909a55ea52b162e10474783fc0560d,Musongwhk,2024-09-11 09:40:25+00:00,Merge branch 'main' into main
7d1c14046c8098a2ce9435e8a52412894178b7fc,Musongwhk,2024-09-11 09:35:51+00:00,add SCINet
f2525641a5a929035a87e00ac47848f683949557,Musongwhk,2024-09-11 09:18:37+00:00,add SCINet
a48504d1adcb145fafe7c2bab57f78cfdc86a2b6,Musongwhk,2024-09-11 09:16:13+00:00,add SCINet
a10248a70f6f47ab3f1e6a41f0e1de2c8d07ab10,Musongwhk,2024-09-11 09:14:33+00:00,add SCINet
6949146ca20c802ebba4e810e52405097cd672b1,wuhaixu2016,2024-09-05 13:16:35+00:00,"Merge pull request #523 from DigitalLifeYZQiu/main

#bugfix: Augmentation code fixing"
0cc8f8909439e30848e1a358447ccbf5456c29f1,DigitalLifeYZQiu,2024-09-05 12:22:17+00:00,#bugfix: augmentation
f4f9a9493bb8815dc5cc990bc4e12192aa216adf,DigitalLifeYZQiu,2024-09-05 08:55:54+00:00,#documentation: augmentation feature roadbook
e2e7689126695f9580f7af9a6d053af36019f9f6,DigitalLifeYZQiu,2024-09-05 08:54:14+00:00,#bugfix: augmentation code fixing
04b8054aa6b8a16fe2594f4120ee455f5ef45b45,wuhaixu2016,2024-09-01 12:52:41+00:00,Update README.md
3d445ce1b52fc8a0cb836e7ef000c837a0e93827,wuhaixu2016,2024-09-01 12:43:08+00:00,Update README.md
1f13c4531051793f36110bf50d8663ef5b971888,wuhaixu2016,2024-08-27 03:57:16+00:00,"Merge pull request #513 from akkasayaz/patch-1

Update requirements.txt"
