id,author,state,created_at,closed_at,title
2526162579,rendezvoush,open,2024-09-14 09:39:26+00:00,,"Win 10 with Nvidia GPU,  env: Python 3.11+ Torch>=2.0.0 + PyTorch-Cuda>= 11.0,   run.py works with GPU mode"
2526060154,holderhe,open,2024-09-14 07:53:59+00:00,,could not use multiple gpus in MICN
2524464226,Nutingnon,open,2024-09-13 10:14:36+00:00,,FEDFormer block error
2519728085,Musongwhk,closed,2024-09-11 13:16:57+00:00,2024-09-11 13:19:58+00:00,fix bugs according to issues #529 #516
2519668751,Chuan112233,closed,2024-09-11 12:53:02+00:00,2024-09-11 13:13:32+00:00,评估指标问题
2519176867,Musongwhk,closed,2024-09-11 09:32:56+00:00,2024-09-11 09:42:36+00:00,Add SCINet
2518284768,1272388611github,closed,2024-09-11 01:56:55+00:00,2024-09-11 09:20:03+00:00,你好，在关于长时间序列预测问题的代码复现过程中，我在TimesNet获得结果与论文相差不大，但是PatchTST与TimeMixer
2515618945,XiaoJia849,closed,2024-09-10 07:20:56+00:00,2024-09-12 02:04:20+00:00,Errors in  layers/ETSformer_EncDec.py
2515260868,MR-HOLO,closed,2024-09-10 02:25:53+00:00,2024-09-10 07:06:32+00:00,维度不匹配
2512412349,rbm123456,closed,2024-09-08 14:20:47+00:00,2024-09-10 07:10:25+00:00,bash /scripts/short_term_forecast/M4/xxx.sh
2512164215,amszwolf,closed,2024-09-08 02:37:17+00:00,2024-09-10 09:51:28+00:00,"Errors occurred while running several scripts under /script/classification: TimesNet.sh, Transformer.sh"
2511543752,MR-HOLO,closed,2024-09-07 08:36:38+00:00,2024-09-08 02:37:35+00:00,UnicodeDecodeError: 'gbk' codec can't decode byte 0xb8 in position 4507: illegal multibyte sequence
2511158378,yitaochen,open,2024-09-06 20:35:47+00:00,,python package local-attention release 1.9.15 causes ModuleNotFoundError: No module named 'torch.amp'
2507637758,DigitalLifeYZQiu,closed,2024-09-05 12:25:17+00:00,2024-09-05 13:16:36+00:00,#bugfix: Augmentation code fixing
2506814974,Chuan112233,closed,2024-09-05 05:37:55+00:00,2024-09-05 08:04:07+00:00,用了clamp，评估指标没有提升
2501585472,voorhs,open,2024-09-02 21:09:10+00:00,,Will you include S4 and other state-space models in your benchmark?
2500396825,CODEJIN,closed,2024-09-02 08:56:03+00:00,2024-09-02 11:54:35+00:00,Shared LayerNorm in TimesNet.
2500159965,Chuan112233,closed,2024-09-02 06:57:57+00:00,2024-09-02 11:49:02+00:00,预测结果产生负值
2496817932,koukouer,closed,2024-08-30 10:14:24+00:00,2024-08-31 03:29:26+00:00,TimeXer对未来可知变量的学习效果
2496702343,Chuan112233,closed,2024-08-30 09:24:49+00:00,2024-08-30 09:36:21+00:00,预测准确率问题
2496036025,holderhe,closed,2024-08-30 02:57:21+00:00,2024-09-11 13:21:12+00:00,AssertionError in LightTS for classification with some dataset
2488274078,bbb801,closed,2024-08-27 04:54:56+00:00,2024-08-27 11:53:19+00:00,时间序列
2486044077,wuzzeze,closed,2024-08-26 06:33:27+00:00,2024-08-26 07:18:01+00:00,初学者，请问对于多变量时间序列的分类任务，使用自己的数据集，应该怎么修改代码？
2485338614,akkasayaz,closed,2024-08-25 15:39:42+00:00,2024-08-27 03:57:17+00:00,Update requirements.txt
2482062408,xuo001,closed,2024-08-23 01:25:46+00:00,2024-08-23 02:38:00+00:00,有外生变量的单变量时序预测
